timestamp_utc,station_id,state,next_state
2026-01-14 07:25:01.544005+00:00,1674190166532565278,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190166532565282,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190166532565286,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190170827532584,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190170827532586,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190170827532590,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190175122499894,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190175122499898,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190179417467196,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190179417467200,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190179417467202,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190183712434502,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190183712434504,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190183712434506,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190183712434508,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190188007401806,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190192302369104,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190192302369106,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190196597336406,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190196597336410,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190200892303712,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190200892303714,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190200892303716,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190205187271014,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190205187271016,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190205187271018,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190209482238318,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190209482238320,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190209482238322,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190213777205620,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190213777205624,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190213777205626,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190218072172924,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190218072172926,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190218072172928,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190222367140226,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190222367140228,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190222367140232,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190222367140236,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190226662107534,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190226662107536,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190226662107538,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190230957074838,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190230957074840,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190230957074842,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190235252042142,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190235252042148,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190235252042152,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190239547009450,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190239547009454,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190239547009456,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190239547009458,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190243841976756,MEDIUM,MEDIUM
2026-01-14 07:25:01.544005+00:00,1674190243841976758,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190248136944056,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190252431911356,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190256726878654,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190256726878658,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190256726878660,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190261021845958,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190261021845960,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190261021845962,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190265316813260,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190265316813262,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190265316813264,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190269611780562,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190269611780566,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190269611780570,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190273906747868,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190273906747872,HIGH,HIGH
2026-01-14 07:25:01.544005+00:00,1674190273906747874,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190278201715172,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190278201715174,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190278201715178,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190282496682476,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190282496682478,EMPTY,EMPTY
2026-01-14 07:25:01.544005+00:00,1674190282496682480,EMPTY,EMPTY
